
23.07.2022 17:36 ,"MAXICOFFEE EST ",2.50,
22.07.2022 12:48 ,"Migros M Hauptbahnh ",3.70,
23.07.2022 13:31 ,"Burger King Sihlqua ",10.00,
21.07.2022 22:19 ,"TRENITALIA - PT WL ",10.00,
23.07.2022 12:11 ,"CASA DEL GATO GmbH ",13.00,
23.07.2022 13:47 ,"SBB CFF FFS Mobile ",20.00,
24.07.2022 00:00 ,"AMZN Mktp IT*FY36U4 ",34.00,
23.07.2022 13:26 ,"SumUp  *Barber Carl ",40.00,
20.07.2022 21:58 ,"RYANAIR   L6N0 ",61.55,
21.07.2022 21:39 ,"WIZZ AIR000SKLM7H ",93.99,
25.07.2022,"GOLDMAN SACHS PETERBOROUGH COURT 133 ",,1234.56
21.07.2022 12:20 ,"JOE & THE JUICE (SW ",10.90,
19.07.2022 13:16 ,"Coop-4922 ZH Bleich ",3.20,
19.07.2022 12:46 ,"Personalrestaurant ",7.50,
19.07.2022 12:47 ,"Personalrestaurant ",18.50,
18.07.2022 18:06 ,"AMAZON.IT*IC2N05QD5 ",34.80,
19.07.2022 12:46 ,"Personalrestaurant ",,7.50,
